marca,categoria,tipo,modelo,inicio,fin
International Trucks,Terrestre,Truck,International Harvester 110,1953,1957
International Trucks,Terrestre,Truck,International Harvester 111,1957,1961
International Trucks,Terrestre,Truck,International Harvester 112,1961,1965
International Trucks,Terrestre,Truck,International Harvester 113,1965,1970
International Trucks,Terrestre,Truck,International Harvester 114,1970,1975
International Trucks,Terrestre,Truck,International Harvester 115,1975,1980
International Trucks,Terrestre,Truck,International Harvester 116,1980,1985
International Trucks,Terrestre,Truck,International Harvester 117,1985,1990
International Trucks,Terrestre,Truck,International Harvester 118,1990,1995
International Trucks,Terrestre,Truck,International Harvester 119,1995,2000
International Trucks,Terrestre,Truck,International Harvester 120,2000,2005
International Trucks,Terrestre,Truck,International Harvester 121,2005,2010
International Trucks,Terrestre,Truck,International Harvester 122,2010,2015
International Trucks,Terrestre,Truck,International Harvester 123,2015,2020
International Trucks,Terrestre,Truck,International Harvester 124,2020,2025
International Trucks,Terrestre,Truck,International Harvester 125,2025,Presente
International Trucks,Terrestre,Military/Off-Road Truck,International PayStar 6x6,2012,Presente
International Trucks,Terrestre,Off-Road Pickup,International CXT 4x4,2007,2010
International Trucks,Terrestre,Pickup Truck,International CXT,2005,2010
International Trucks,Terrestre,Pickup Truck,International CXT Final Edition,2010,2010
International Trucks,Terrestre,Commercial Van,International CV,2016,Presente
International Trucks,Terrestre,Commercial Vehicle,International CV Series,2016,Presente
International Trucks,Terrestre,Electric Commercial Van,International CV Electric,2021,Presente
Iran Khodro,Terrestre,Electric Hatchback,Iran Khodro Samin EV,2022,Presente
Iran Khodro,Terrestre,Electric Hatchback,Iran Khodro Samin EV City,2022,2024
Iran Khodro,Terrestre,Electric Hatchback,Iran Khodro Samin EV Pro,2024,Presente
Iran Khodro,Terrestre,Electric Hatchback,Iran Khodro Samin EV Final Edition,2025,2025
Iran Khodro,Terrestre,Electric Sedan,Iran Khodro Roodkhaneh,2023,Presente
Iran Khodro,Terrestre,Electric Sedan,Iran Khodro Roodkhaneh Final Edition,2025,2025
Iran Khodro,Terrestre,Electric Sedan,Iran Khodro Roodkhaneh EV,2023,Presente
Iran Khodro,Terrestre,Electric Sedan,Iran Khodro Roodkhaneh Plus,2024,Presente
Iran Khodro,Terrestre,Hatchback,Iran Khodro Tara,2017,Presente
Iran Khodro,Terrestre,Hatchback,Iran Khodro Tara DLX,2017,2022
Iran Khodro,Terrestre,Hatchback,Iran Khodro Tara GLX,2022,Presente
Iran Khodro,Terrestre,Hatchback,Iran Khodro Tara Final Edition,2025,2025
Iran Khodro,Terrestre,Hatchback,Iran Khodro REY 1.0,2022,Presente
Iran Khodro,Terrestre,Hatchback,Iran Khodro REY 1.4,2023,Presente
Iran Khodro,Terrestre,Hatchback,Iran Khodro Peugeot 206,2001,2017
Iran Khodro,Terrestre,Hatchback,Iran Khodro Peugeot 207,2010,2020
Iran Khodro,Terrestre,Hatchback,Iran Khodro Peugeot 208,2018,Presente
Iran Khodro,Terrestre,Hatchback,Iran Khodro Peugeot Final Edition,2025,2025
Iran Khodro,Terrestre,Hatchback,Iran Khodro Renault Sandero,2010,Presente
Iran Khodro,Terrestre,Hatchback,Iran Khodro Pride,1992,2018
Iran Khodro,Terrestre,Hatchback,Iran Khodro Pride 131,1992,2005
Iran Khodro,Terrestre,Hatchback,Iran Khodro Pride 141,2005,2018
Iran Khodro,Terrestre,Hatchback,Iran Khodro Pride Final Edition,2018,2018
Iran Khodro,Terrestre,Hatchback,Iran Khodro Elxir 1.0,2023,Presente
Iran Khodro,Terrestre,Sedan,Iran Khodro REY,2022,Presente
